message_type,timestamp,activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_35,unknown_36,unknown_37,unknown_38,unknown_6,unknown_7,unknown_8,version
file_id,,,,,,,,,,,4644,,,,garmin,110,,3617778896,,2026-04-05 19:42:00,,monitoring_b,,,,,,,,,,,,
device_info,2026-04-05 19:42:00,,,,,,,,,,4644,,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,
software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
unknown_355,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,
unknown_484,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
monitoring_info,2026-04-05 19:42:00,"(6, 1, 13)",,"(0.0468, 0.1476, 0.0)","(1.6652, 2.4978, 2.0)",,,,,,,,,2026-04-06 04:42:00,,,2016,,,,,,,,,,,,,,,"(7440, 7440, 2000, 2000)",,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 111, 53, 68, 0, 2, 0, 16, 164, 0, 0, 32, 72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 111, 53, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
monitoring,2026-04-05 19:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
monitoring,2026-04-05 19:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
ohr_settings,,,,,,,,off,,,,,,,,,,,,,,,,,,1144352520,,,,,,,,
event,2026-04-05 19:43:00,,,,,300,300,,78,marker,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-05 19:42:00,9,"(9,)",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
unknown_408,,,,,,,,,,,,,,,,,,,,,,,4,,93,1144352561,,,,,,,,
ohr_settings,,,,,,,,off,,,,,,,,,,,,,,,,,,1144352580,,,,,,,,
monitoring,,,,,,,,,,,,0,,,,,,,,,28484,,,,,,,,,,,,,
monitoring,2026-04-05 19:43:00,sedentary,"(136,)",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
ohr_settings,,,,,,,,off,,,,,,,,,,,,,,,,,,1144352580,,,,,,,,
monitoring,2026-04-05 19:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
monitoring,2026-04-05 19:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 111, 53, 68, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,"(68, 111, 53, 68, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
