message_type,timestamp,active_calories,active_time,activity_type,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
file_id,,,,,,,,,,,,,,,,4644,,,,garmin,114,,3617778896,,,,,2026-04-07 21:22:00,,monitoring_b,,,,,,,,,,,,,,
device_info,2026-04-07 21:22:00,,,,,,,,,,,,,,,4644,,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,,,,,,
software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
unknown_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,200,,,,,,,,,,,
unknown_484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
monitoring_info,2026-04-07 21:22:00,,,"(6, 1, 13)",,,"(0.0468, 0.1476, 0.0)","(1.6652, 2.4978, 2.0)",,,,,,,,,,,2026-04-08 06:22:00,,,2016,,,,,,,,,,,,,,,,,,,,"(7440, 7440, 2000, 2000)",,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 41, 56, 68, 0, 2, 0, 16, 164, 0, 0, 32, 72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 41, 56, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
monitoring,2026-04-07 21:22:00,1,60.0,generic,,0.0,,,,,0.0,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:22:00,0,60.0,walking,,,,,,,5.83,383,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
monitoring,2026-04-07 21:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,
unknown_211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,,1144531320,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,1144531320,,,,,,,,,,
event,2026-04-07 21:23:00,,,,,,,,300,300,,,,78,marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:22:00,,,9,"(9,)",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,off,,,,,,,,,,,,,,,,,,,,,1144531380,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,10676,,,,,,,,,,,,,,,
monitoring,2026-04-07 21:23:00,,,sedentary,"(136,)",,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07 21:24:00,-1,,,,,,101,,77,,,,,2,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1144531440,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,10736,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,1144531440,,,,,,,,,,
monitoring,2026-04-07 21:24:00,,,sedentary,"(8,)",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
