message_type,timestamp,garmin_product,manufacturer,number,product,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_18,unknown_19,unknown_2,unknown_20,unknown_21,unknown_22,unknown_23,unknown_24,unknown_25,unknown_253,unknown_26,unknown_27,unknown_28,unknown_29,unknown_3,unknown_30,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
file_id,,4644,garmin,654,,3617778896,,2026-04-07 21:11:00,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
device_info,2026-04-07 21:10:59,,,,4644,3617778896,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_241,,,,,,,,,,1144563059,0,,,,,,,,,,,,,,,,,,1144530659,,,,,,,,,,,,
unknown_330,,,,,,,,,,0,1144530659,,,,,,,,,,,52,,,,,,,,,,,,1144563059,,,,,,,
unknown_384,,,,,,,,,,63,92,540,1144379487,540,,82,,80,4,,,52,64,114,-30,63,88,55,1144379487,,,,,1020,,-6,1409024,4811434,1358955,1144411887,1144355607
unknown_294,,,,,,,,,,21226668,6368578,,,,,,,,,,,0,,,,,,,1144530659,,,,,70,,190,150,270,0,120,3
unknown_232,,,,,,,,,,,,,38,,,,,,,,,8,,,,,,,1144530659,,,,,0,,,,,,,2
unknown_378,,,,,,,,,,47,2,,,,,,,,,,,2,,,,,,,1144530659,,,,,125,,105,11,,,,
unknown_494,,,,,,,,,,3,3,,,,,,,,,,,4,,,,,,,1144530659,,,,,0,,0,16,14,9,,
unknown_369,,,,,,,,,,41,2,83,4,0,0,10,1,36,2,0,1,5,1144563060,3584,125,,,1,1144530660,2,3,1,5,19,5,,0,0,116,96,4
unknown_339,,,,,,,,,,1144563059,2187,,,,,,,,,,,4948,,,,,,,1144530659,,,,,12370,,28388,,,,,
unknown_356,,,,,,,,,,,,,0,0,,,,,,,,1120100,,,,,,,1144530660,,,,,4720600,,,100,100,,,
unknown_506,,,,,,,,,,420,1360,,,,,,,,,,,340,,,,,,,1144530660,,,,,8,,130,,,,,
unknown_410,,,,,,,,,,420,420,,,,,,,,,,,3,,,,,,,1144530660,,,,,0,,3,3,0,,,1
unknown_284,,,,,,,,,,116,1144530660,,,,,,,,,,,0,,,,,,,,,,,,115,,0,5,,,,
