message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_254,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:11,79,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:11,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
timestamp_correlation,2026-04-07 21:11:11,,,,,,,,,,,2026-04-08 06:11:11,,,,,,,2024-11-09 18:34:16,,,,,,,,,,,,,,,,,,,,,
unknown_471,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144379487,,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144355607,0,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144355672,1,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144358972,2,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144359572,3,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144359872,4,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144360172,5,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144361972,6,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144365272,7,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144369472,8,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144371872,9,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144373372,10,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144373972,11,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1144374272,12,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1144378328,13,,,,,,,,,
unknown_470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144379487,14,,,,,,,,,
