message_type,timestamp,garmin_product,manufacturer,number,product,serial_number,software_version,time_created,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_18,unknown_19,unknown_2,unknown_20,unknown_21,unknown_22,unknown_25,unknown_253,unknown_26,unknown_27,unknown_28,unknown_29,unknown_3,unknown_30,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
file_id,,4644,garmin,655,,3617778896,,2026-04-08 00:17:33,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
device_info,2026-04-08 00:17:33,,,,4644,3617778896,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_241,,,,,,,,,,1144574253,0,,,,,,,,,,,,,,,,1144541853,,,,,,,,,,,,
unknown_284,,,,,,,,,,402,1144541853,,,,,,,,,,,0,,,,,,,,,,0,,0,1,,,,
unknown_294,,,,,,,,,,21874960,6368578,,,,,,,,,,,0,,,,,1144541856,,,,,70,,190,150,270,0,120,3
unknown_232,,,,,,,,,,,,,38,,,,,,,,,8,,,,,1144541856,,,,,0,,,,,,,2
unknown_378,,,,,,,,,,52,2,,,,,,,,,,,2,,,,,1144541856,,,,,137,,107,12,,,,
unknown_494,,,,,,,,,,3,3,,,,,,,,,,,4,,,,,1144541856,,,,,0,,0,16,14,9,,
unknown_369,,,,,,,,,,38,2,79,4,0,0,10,1,36,2,0,4,5,1144574256,3584,137,1,1144541856,2,3,1,5,19,5,,0,0,402,89,4
unknown_281,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,1144541856,,,,,,,0,0,0,,,0
unknown_339,,,,,,,,,,1144574256,2187,,,,,,,,,,,4948,,,,,1144541856,,,,,12370,,28388,,,,,
unknown_356,,,,,,,,,,,,,0,0,,,,,,,,1120500,,,,,1144541856,,,,,4722200,,,100,100,,,
unknown_410,,,,,,,,,,420,420,,,,,,,,,,,3,,,,,1144541856,,,,,0,,3,3,0,,,1
