message_type,timestamp,active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,steps,stress_level_time,stress_level_value,time_created,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
file_id,,,,,,,,,,,,,,,,,,4644,,,,garmin,,116,,3617778896,,,,,2026-04-08 05:32:00,,monitoring_b,,,,,,,,,,,,,,,,,
device_info,2026-04-08 05:32:00,,,,,,,,,,,,,,,,,4644,,,,garmin,,,,3617778896,16.37,,,,,,,,,,,,,,,,,,,,,,,
software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
unknown_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,,
unknown_484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,
monitoring_info,2026-04-08 05:32:00,,,"(6, 1, 13)",,,,"(0.0468, 0.1476, 0.0)","(1.6652, 2.4978, 2.0)",,,,,,,,,,,,2026-04-08 14:32:00,,,,2016,,,,,,,,,,,,,,,,,,,,,,,"(7440, 7440, 2000, 2000)",,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(134, 156, 56, 68, 0, 2, 0, 16, 164, 0, 0, 32, 72, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(134, 156, 56, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
monitoring,2026-04-08 05:32:00,157,5258.0,generic,,,0.0,,,,,,0.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-08 05:32:00,198,3488.0,walking,,,,,,,,,3452.08,872,,,,,,,,,,,,,,4539,,,,,,,,,,,,,,,,,,,,,,
monitoring,2026-04-08 05:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18288,31690,,,,,,,
monitoring,2026-04-08 05:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,,,,,
unknown_211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,,,,,1144560720,,,,,,,,,,
ohr_settings,,,,,,,,,,,,,,,on,,,,,,,,,,,,,,,,,,,,,,,,,1144560720,,,,,,,,,,
event,2026-04-08 05:32:54,,,,,,,,,300,300,,,,,78,marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:33:00,40,,,,,,,,,-20,,40,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,,,,,,1144560780,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 0, 0, 40)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 0, 187, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 3, 120, 68, 5, 0, 248, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 4, 40, 6, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 5, 100, 1, 0, 0, 255, 255, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 6, 196, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 7, 211, 77, 146, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 8, 66, 134, 253, 65, 0, 128, 17, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 9, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 3, 11, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(180, 156, 56, 68, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,
unknown_408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,337,,,,386,1144560836,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:34:00,36,,,,,,,,,-14,,40,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,,,,1144560840,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,40136,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144560840,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 128, 1, 192)",,,,,,,,,,,
event,2026-04-08 05:35:00,,,,,,,,,55,55,,,,,54,marker,,,,,,,,,,,,,,,,,,,8,1144556700,,,,,,,,,,,,,
monitoring,2026-04-08 05:34:00,,,sedentary,,"(8,)",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:35:00,43,,,,,,,,,-24,,40,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,,,,,,1144560900,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,40196,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2, 128, 1, 184)",,,,,,,,,,,
event,2026-04-08 05:36:00,,,,,,,,,1,1,,,,,54,marker,,,,,,,,,,,,,,,,,,,0,1144560000,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:36:00,61,,,,,,,,,-48,,40,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,,,,1144560960,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144560960,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(22, 44, 0, 176)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:37:00,62,,,,,,,,,-49,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,,,,,,1144561020,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,40316,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 224, 247)",,,,,,,,,,,
monitoring,2026-04-08 05:37:00,,,sedentary,,"(104,)",,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:38:00,54,,,,,,,,,-38,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133,,,,,,1144561080,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,40376,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144561080,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 48)",,,,,,,,,,,
monitoring,2026-04-08 05:38:00,,,sedentary,,"(8,)",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:39:00,50,,,,,,,,,-33,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066,,,,,,1144561140,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,40436,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 56)",,,,,,,,,,,
monitoring,2026-04-08 05:39:00,,,sedentary,,"(40,)",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:40:00,48,,,,,,,,,-30,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,,,1144561200,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,40496,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144561200,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 64)",,,,,,,,,,,
monitoring,,158,5294.0,generic,,"(64,)",0.0,,,,,,,,,,,,,2,,,,,,,,,,,,40496,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:41:00,64,,,,,,,,,-52,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,,1144561260,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,40556,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 72)",,,,,,,,,,,
event,2026-04-08 05:41:00,,,,,,,,,3,3,,,,,41,marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:42:00,67,,,,,,,,,-56,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,,,1144561320,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,40616,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144561320,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 132, 1, 192)",,,,,,,,,,,
monitoring,2026-04-08 05:42:00,,,sedentary,,"(72,)",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:43:00,42,,,,,,,,,-23,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,,,,,,1144561380,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,40676,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 132, 1, 184)",,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:44:00,47,,,,,,,,,-29,,39,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783,,,,,,1144561440,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,40736,,,,,,,,,,,,,,,,,,
unknown_279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,1144561440,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(82, 164, 0, 176)",,,,,,,,,,,
monitoring,2026-04-08 05:44:00,,,sedentary,,"(8,)",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:45:00,56,,,,,,,,,-41,,38,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,,,,,,1144561500,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,40796,,,,,,,,,,,,,,,,,,
unknown_233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 224, 247)",,,,,,,,,,,
monitoring,2026-04-08 05:45:00,,,sedentary,,"(72,)",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08 05:46:00,58,,,,,,,,,-44,,38,,,,,1,,,,
unknown_297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,1144561560,,,,,,,,,,
monitoring,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,40856,,,,,,,,,,,,,,,,,,
